uri,dataUpdated,units,sourceLink,initialPeriod,lastPeriod,sourceLabel,periodicity,referenceArea
http://www.icane.es/data/historical-data/economy/public-sector/regular-budgets-income-santander-municipality-pesetas-1820-1848,, Pesetas: Pesetas.,,1820,1848,Ingresos. Presupuestos ordinarios (manuscritos e impresos). BMS (BMS),Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/regular-budgets-income-santander-municipality-pesetas-1863-1924,, Pesetas: Pesetas.,,1863,1924,Ingresos. Presupuestos ordinarios (manuscritos e impresos). BMS (BMS),Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/regular-budgets-income-santander-municipality-pesetas-1925-1958,, Pesetas: Pesetas.,,1925,1958,Ingresos. Presupuestos ordinarios (manuscritos e impresos). BMS (BMS),Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/regular-budgets-income-santander-municipality-pesetas-1959-1979,, Pesetas: Pesetas.,,1959,1979,Ingresos. Presupuestos ordinarios (manuscritos e impresos). BMS (BMS),Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/regular-budgets-income-santander-municipality-pesetas-1980-2000,, Pesetas: Pesetas.,,1980,2000,Ingresos. Presupuestos ordinarios (manuscritos e impresos). BMS (BMS),Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/regular-budgets-income-provincial-deputation-pesetas-1822-1848,, Pesetas: Pesetas.,http://www.culturadecantabria.com/archivos.asp,1822,1848,"Ingresos. Sautuola, 62. Archivo Histórico Provincial de Cantabria (AHPC)",Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/regular-budgets-income-provincial-deputation-pesetas-1883-1900,, Pesetas: Pesetas.,http://www.culturadecantabria.com/archivos.asp,1883,1900,"Ingresos. Sautuola, 62. Archivo Histórico Provincial de Cantabria (AHPC)",Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/regular-budgets-income-provincial-deputation-pesetas-1905-1916,, Pesetas: Pesetas.,http://www.culturadecantabria.com/archivos.asp,1905,1916,"Ingresos. Sautuola, 62. Archivo Histórico Provincial de Cantabria (AHPC)",Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/regular-budgets-income-provincial-deputation-pesetas-1924-1958,, Pesetas: Pesetas.,http://www.culturadecantabria.com/archivos.asp,1924,1958,"Ingresos. Sautuola, 62. Archivo Histórico Provincial de Cantabria (AHPC)",Anual,Regional
http://www.icane.es/data/historical-data/economy/public-sector/regular-budgets-income-provincial-deputation-pesetas-1959-1981,, Pesetas: Pesetas.,http://www.culturadecantabria.com/archivos.asp,1959,1981,"Ingresos. Sautuola, 62. Archivo Histórico Provincial de Cantabria (AHPC)",Anual,Regional
