uri,dataUpdated,units,sourceLink,initialPeriod,lastPeriod,sourceLabel,periodicity,referenceArea
http://www.icane.es/data/municipal-data/territory-environment/territory/terrain-series,," Altitud de la Capital, Cota máxima, Cota mínima: m.s.n.m; Distancia a Santander: Km; Superficie: Km².",http://www.ine.es,,,Relieve. Instituto Nacional de Estadística (INE),No aplicable,Municipal
http://www.icane.es/data/municipal-data/territory-environment/territory/municipal-surface-height-strata,, Porcentaje: Km²; Superficie: %.,http://www.ine.es,,,Relieve. Instituto Nacional de Estadística (INE),No aplicable,Municipal
http://www.icane.es/data/municipal-data/territory-environment/territory/municipal-surface-slope-strata,, Superficie: Km²; Porcentaje: %.,http://www.ine.es,,,Relieve. Instituto Nacional de Estadística (INE),No aplicable,Municipal
http://www.icane.es/data/municipal-data/population/population-figures/census-municipalities-alterations-1842,," Población de derecho, Población de hecho: Número de personas; Hogares: Número de hogares.",http://www.ine.es,1842,2001,Series de población. Alteraciones de los municipios en los Censos de Población desde 1842. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/society/living-standards/census-homes-size,, Hogares: Número.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/society/living-standards/census-homes-average-size,, Tamaño medio: Personas/hogar.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/society/living-standards/census-homes-generations,, Hogares: Número.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/society/living-standards/census-homes-structure,, Hogares: Número.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/society/living-standards/census-homes-employed,, Hogares: Número.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/society/living-standards/census-homes-unemployed,, Hogares: Número.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/society/living-standards/census-homes-employed-unemployed-average,," Media de parados por hogar, Media de ocupados por hogar: Número.",http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/society/living-standards/census-homes-ownership,, Hogares: Número.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/society/living-standards/census-homes-issues,, Porcentaje: Porcentaje; Problemas: Número.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/society/living-standards/census-linked-population,," Personas: Número, Porcentaje.",http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/society/living-standards/census-students-16-more-years-transport-studies-center,, Estudiantes: Número.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/society/living-standards/census-time-students-16-more-years-transport-study-center-2001,, Porcentaje: %.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/society/living-standards/census-employed-16-more-years-transport-work-center,, Ocupados: Número.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/society/living-standards/census-time-students-16-more-years-transport-work-center-2001,, Tiempo empleado: Porcentaje.,http://www.ine.es,2001,2001,Censo de Población y Vivienda. Instituto Nacional de Estadística (INE),Decenal,Municipal
http://www.icane.es/data/municipal-data/economy/public-sector/municipal-budgets-annual-euro,, Presupuesto: Euros; Gasto por habitante: Euros/Habitante.,http://www.cantabria.es/web/secretaria-general-cpj,2001,2010,Presupuestos municipales. Gobierno de Cantabria. Consejería de Presidencia y Justicia. Secretaría General,Anual,Municipal
