uri,dataUpdated,units,sourceLink,initialPeriod,lastPeriod,sourceLabel,periodicity,referenceArea
http://www.icane.es/data/regional-data/population/population-figures/municipal-register-gender-quinquennial-age-group,2013-04-23, .,http://www.ine.es/jaxi/menu.do?type=pcaxis&path=/t20/e245/p04/provi&file=pcaxis,2001,2013,Padrón Municipal de Habitantes. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/regional-data/society/living-standards/family-budget-percentage-households-people-total-nation,2012-10-30," Hogares, Personas: %.",http://www.ine.es,2006,2011,Encuesta de Presupuestos Familiares (EPF). Instituto Nacional de Estadística (INE),,Regional
http://www.icane.es/data/regional-data/territory-environment/environment/environment-protection-economic-results-activity-indicator-type-nace09,, Gasto: Euros.,http://www.ine.es,2008,2010,Encuesta del gasto de las empresas en protección ambiental. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/regional-data/economy/labour-market/active-population-small-areas-employed-unenployed,2013-05-08," Valor Absoluto: Número; Tasa de variación interanual, Tasa de variación trimestral: %.",http://www.icane.es,1T 2006,1T 2013,Encuesta de Población Activa (EPA). Instituto Cántabro de Estadística (ICANE),Trimestral,
http://www.icane.es/data/regional-data/economy/labour-market/active-population-small-areas-activity-unemployment-rate,2013-05-08," Tasa de actividad, Tasa de paro: %.",http://www.icane.es,1T 2006,1T 2013,Encuesta de Población Activa (EPA). Instituto Cántabro de Estadística (ICANE),Trimestral,
http://www.icane.es/data/regional-data/territory-environment/environment/residues-quantity-category-economic-sector,, Residuos: Miles de toneladas.,http://www.ine.es,2006,2006,Cuentas ambientales. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/regional-data/territory-environment/environment/residues-quantity-category-total-households-economic-sector,, Residuos: Miles de toneladas.,http://www.ine.es,2006,2006,Cuentas ambientales. Instituto Nacional de Estadística (INE),Anual,Regional
http://www.icane.es/data/regional-data/society/living-standards/homeless-survey-centers-municipality-size-indicator-type,2012-12-21, Centros: Numero; Proporción de centros: %.,http://www.ine.es,2003,2010,Encuesta sobre las personas sin hogar. Instituto Nacional de Estadística (INE),Bienal,
http://www.icane.es/data/regional-data/society/living-standards/homeless-survey-centers-benefit-type,2012-12-21, Proporción de centros: %.,http://www.ine.es,2003,2010,Encuesta sobre las personas sin hogar. Instituto Nacional de Estadística (INE),Bienal,
http://www.icane.es/data/regional-data/society/living-standards/homeless-survey-centers-population-type,2012-12-21, Proporción de centros: %.,http://www.ine.es,2003,2003,Encuesta sobre las personas sin hogar. Instituto Nacional de Estadística (INE),Bienal,
http://www.icane.es/data/regional-data/society/living-standards/homeless-survey-centers-main-thrust,2012-12-21, Proporción de centros: %.,http://www.ine.es,2006,2010,Encuesta sobre las personas sin hogar. Instituto Nacional de Estadística (INE),Bienal,
http://www.icane.es/data/regional-data/society/living-standards/homeless-survey-centers-main-thrust-type,2012-12-21, Proporción de centros: %.,http://www.ine.es,2003,2010,Encuesta sobre las personas sin hogar. Instituto Nacional de Estadística (INE),Bienal,
http://www.icane.es/data/regional-data/society/living-standards/homeless-survey-centers-access-mode,2012-12-21, Proporción de centros: %.,http://www.ine.es,2003,2010,Encuesta sobre las personas sin hogar. Instituto Nacional de Estadística (INE),Bienal,
http://www.icane.es/data/regional-data/society/living-standards/homeless-survey-centers-restaurant-service,2012-12-21," Número medio diario de servios: Numero; Centros, Número medio diario de servicios: Número; Proporción de centros respecto al total de España, Proporción de servicios (media) respecto al total de España: %.",http://www.ine.es,2006,2010,Encuesta sobre las personas sin hogar. Instituto Nacional de Estadística (INE),Bienal,
http://www.icane.es/data/regional-data/society/living-standards/homeless-survey-centers-restaurant-number-service,2012-12-21," Centros, Servicios a 15 de Junio, Servicios a 15 de Diciembre, Servicios diarios medios: Número.",http://www.ine.es,2006,2010,Encuesta sobre las personas sin hogar. Instituto Nacional de Estadística (INE),Bienal,
http://www.icane.es/data/regional-data/society/living-standards/homeless-survey-centers-security-service,2012-12-21, Proporción de centros: %.,http://www.ine.es,2006,2010,Encuesta sobre las personas sin hogar. Instituto Nacional de Estadística (INE),Bienal,
http://www.icane.es/data/regional-data/society/living-standards/homeless-survey-centers-community-places,2012-12-21," Centros: Número; Capacidad, Ocupacion: Plazas; Ratio ocupación: %.",http://www.ine.es,2006,2010,Encuesta sobre las personas sin hogar. Instituto Nacional de Estadística (INE),Bienal,
http://www.icane.es/data/regional-data/society/living-standards/homeless-survey-personnel-dedication,2012-12-21, Personal: %.,http://www.ine.es,2003,2010,Encuesta sobre las personas sin hogar. Instituto Nacional de Estadística (INE),Bienal,
http://www.icane.es/data/regional-data/society/living-standards/homeless-survey-personnel-entailment,2012-12-21, Personal: Número.,http://www.ine.es,2003,2010,Encuesta sobre las personas sin hogar. Instituto Nacional de Estadística (INE),Bienal,
http://www.icane.es/data/regional-data/society/living-standards/homeless-survey-personnel-function,2012-12-21, Personal: Número.,http://www.ine.es,2003,2010,Encuesta sobre las personas sin hogar. Instituto Nacional de Estadística (INE),Bienal,
http://www.icane.es/data/regional-data/society/living-standards/homeless-survey-centers-financing-source,2012-12-21, Proporción de centros: %.,http://www.ine.es,2003,2010,Encuesta sobre las personas sin hogar. Instituto Nacional de Estadística (INE),Bienal,
